Posta;Posta;12;+36 85 330336;Buzsák;8695;8695 Buzsák, Balaton utca 3;Balaton utca 3;;Somogy;0;0;;;;;;;;;;;;0;99534;46.648875929098;17.577141943244
Marco Polo Travel Utazási Iroda;Marco Polo Travel Utazási Iroda;31;+36 30 5589473;Salgótarján;3100;3100 Salgótarján, Rákóczi út 1-9;Rákóczi út 1-9;;Nógrád;0;0;;;;;;;info@marco-polo.hu;http://www.marco-polo.hu;;;;0;19141584;48.106996064946;19.809649073659
Népművészeti Tájház Buzsák;Népművészeti Tájház Buzsák;36;+36 85 330342;Buzsák;8695;8695 Buzsák, Főtér tér 7 .;Főtér tér 7 .;;Somogy;0;0;;;;;;;;;;;;0;56040252;46.6480594833;17.5739421618
M.M.M. (Marcsi-Mozgás-Mánia);M.M.M. (Marcsi-Mozgás-Mánia);56;+36 30 6491177;Nyékládháza;3433;3433 Nyékládháza, Arany János utca 75 .;Arany János utca 75 .;;Borsod-Abaúj-Zemplén;0;0;;;;;;;marcsikita@gmail.com;http://marcsi.freewb.hu;;;;0;38734936;47.9921000466;20.845828858
Jade-Varázs Kft.;Jade-Varázs Kft.;66;+36 20 2060580;Gödöllő;2100;2100 Gödöllő, Szent Imre utca 6  /B;Szent Imre utca 6  /B;;Pest;0;0;;;;;;;info@jade-varazs.hu;www.jade-varazs.hu;;;;0;23874635;47.5982660738;19.3431283855
Nagybajom és Vidéke Takarékszövetkezet;Nagybajom és Vidéke Takarékszövetkezet;75;+36 85 530052;Buzsák;8695;8695 Buzsák, Május 1. utca;Május 1. utca;;Somogy;0;0;;;;;;;;;;;;0;62181460;46.6484627375;17.5793663711
Nagybajom és Vidéke Takarékszövetkezet;Nagybajom és Vidéke Takarékszövetkezet;75;+36 85 530052;Buzsák;8695;8695 Buzsák, Május 1. utca;Május 1. utca;;Somogy;0;0;;;;;;;;;;;;0;62196017;46.6484627375;17.5793663711
Pax-Szám Kft.;Pax-Szám Kft.;95;+36 20 9427382;Gödöllő;2100;2100 Gödöllő, Ganz Á. utca 2 . I/102;Ganz Á. utca 2 . I/102;;Pest;0;0;;;;;;;pax-szam@invitel.hu;http://www.pax-szam.hu;;;;0;39998917;47.5938149136;19.3355244044
Hársfa Étterem Buzsák;Hársfa Étterem Buzsák;165;+36 85 431047;Buzsák;8695;8695 Buzsák, Főtér tér 2 .;Főtér tér 2 .;;Somogy;0;0;;;;;;;;;;;;0;56098067;46.6486211424;17.577702722
Élelmiszer 9.sz.;Élelmiszer 9.sz.;260;+36 85 330190;Buzsák;8695;8695 Buzsák, Kossuth Lajos utca 2;Kossuth Lajos utca 2;;Somogy;0;0;;;;;;;;;;;;0;100577;46.648521;17.577062
Élelmiszerbolt;Élelmiszerbolt;260;+36 85 330178;Buzsák;8695;8695 Buzsák, Fő tér 1/1;Fő tér 1/1;;Somogy;0;0;;;;;;;;;;;;0;100578;46.648111;17.574522
Posta;Posta;12;+36 26 371026;Budajenő;2093;2093 Budajenő, Kossuth Lajos utca 6;Kossuth Lajos utca 6;;Pest;0;0;;;;;;;;;;;;0;74881771;47.55551234728;18.803540914988
Posta;Posta;12;+36 26 371026;Budajenő;2093;2093 Budajenő, Kossuth Lajos utca 2;Kossuth Lajos utca 2;;Pest;0;0;;;;;;;;;;;;0;124736;47.554630720375;18.804526402395
TRADE & TOURISM Nemzetközi Kereskedelmi, Turisztikai, Oktatási és Szolgáltató Kf;TRADE & TOURISM Nemzetközi Kereskedelmi, Turisztikai, Oktatási és Szolgáltató Kf;31;+36 1 3988190;Telki;2089;2089 Telki, Berkenye utca 7 .;Berkenye utca 7 .;;Pest;0;0;;;;;;;;;;;;0;10992023;47.558041142159;18.823153260315
